,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,16.666666666666664,33.33333333333333,0.3662523925304413,0.6318817138671875,21.366666666666667,0.08258581104506535
2-3,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.4253109892209371,1.2403310139973958,22.86666666666667,0.08265936489373468
2-5,0.0,16.666666666666664,0.0,0.0,50.0,0.0,33.33333333333333,,,,0.07963559011749874
2-7,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.48095975319544476,0.3845876057942708,22.833333333333332,0.07959264660508551
2-9,33.33333333333333,0.0,50.0,0.0,0.0,0.0,16.666666666666664,0.3890167325735092,0.5436935424804688,22.816666666666666,0.07939555102449868
2-11,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.541881263256073,0.14801025390625,24.283333333333335,0.08086787086227827
2-13,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.5333486080169678,1.1830322265625,19.373333333333335,0.07990368150427858
2-15,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.4312657192349434,1.0763053894042969,23.225,0.07951298064821175
3-1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.07941630784203024
3-3,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.3477300852537155,1.2942366003990173,23.733333333333334,0.0803158490380946
3-5,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.34492218494415283,0.5629116346438726,24.5,0.08081919079769158
3-7,16.666666666666664,0.0,50.0,0.0,0.0,0.0,33.33333333333333,0.3639327585697174,0.4407958388328552,19.166666666666668,0.08047940819351762
3-9,33.33333333333333,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.259709469974041,0.8502960503101349,21.016666666666666,0.07991469438828636
3-11,66.66666666666666,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.3612777777016163,2.1063526570796967,24.633333333333333,0.07955660068488335
3-13,33.33333333333333,0.0,16.666666666666664,0.0,0.0,0.0,50.0,0.23422816395759583,1.2662187814712524,23.766666666666666,0.07964357296278296
3-15,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.2715722769498825,1.162956291809678,23.09166666666667,0.07965876220108627
Avg,39.58333333333333,1.0416666666666665,13.541666666666664,1.0416666666666665,22.916666666666664,1.0416666666666665,20.83333333333333,,,,0.08024736767556404
